year,title,link,abstract
2022,proofs and certificates for max-sat,https://www.jair.org/index.php/jair/article/view/13811,"current max-sat solvers are able to efficiently compute the optimal value of an input instance but they do not provide any certificate of its validity. in this paper, we present a tool, called ms-builder, which generates certificates for the max-sat problem in the particular form of a sequence of equivalence-preserving transformations. to generate a certificate, ms-builder iteratively calls a sat oracle to get a sat resolution refutation which is handled and adapted into a sound refutation for max-sat. in particular, we prove that the size of the computed max-sat refutation is linear with respect to the size of the initial refutation if it is semi-read-once, tree-like regular, tree-like or semi-tree-like. additionally, we propose an extendable tool, called ms-checker, able to verify the validity of any max-sat certificate using max-sat inference rules. both tools are evaluated on the unweighted and weighted benchmark instances of the 2020 max-sat evaluation."
2022,chance-constrained static schedules for temporally probabilistic plans,https://www.jair.org/index.php/jair/article/view/13636,"time management under uncertainty is essential to large scale projects. from space exploration to industrial production, there is a need to schedule and perform activities. given complex specifications on timing. in order to generate schedules that are robust to uncertainty in the duration of activities, prior work has focused on a problem framing that uses an interval-bounded uncertainty representation. however, such approaches are unable to take advantage of known probability distributions over duration.
in this paper we concentrate on a probabilistic formulation of temporal problems with uncertain duration, called the probabilistic simple temporal problem. as distributions often have an unbounded range of outcomes, we consider chance-constrained solutions, with guarantees on the probability of meeting temporal constraints. by considering distributions over uncertain duration, we are able to use risk as a resource, reason over the relative likelihood of outcomes, and derive higher utility solutions. we first demonstrate our approach by encoding the problem as a convex program. we then develop a more efficient hybrid algorithm whose parent solver generates risk allocations and whose child solver generates schedules for a particular risk allocation. the child is made efficient by leveraging existing interval-bounded scheduling algorithms, while the parent is made efficient by extracting conflicts over risk allocations. we perform numerical experiments to show the advantages of reasoning over probabilistic uncertainty, by comparing the utility of schedules generated with risk allocation against those generated from reasoning over bounded uncertainty. we also empirically show that solution time is greatly reduced by incorporating conflict-directed risk allocation."
2022,towards evidence retrieval cost reduction in abstract argumentation frameworks with fallible evidence,https://www.jair.org/index.php/jair/article/view/13639,"arguments in argumentation systems cannot always be considered as standalone entities, requiring the consideration of the pieces of evidence they rely on. this evidence might have to be retrieved from external sources such as databases or the web, and each attempt to retrieve a piece of evidence comes with an associated cost. moreover, a piece of evidence may be available in a given scenario but not in others, and this is not known beforehand. as a result, the collection of active arguments (whose entire set of evidence is available) that can be used by the argumentation machinery of the system may vary from one scenario to another. in this work, we consider an abstract argumentation framework with fallible evidence that accounts for these issues, and propose a heuristic measure used as part of the acceptability calculus (specifically, for building pruned dialectical trees) with the aim of minimizing the evidence retrieval cost of the arguments involved in the reasoning process. we provide an algorithmic solution that is empirically tested against two baselines and formally show the correctness of our approach."
2022,first-order rewritability and complexity of two-dimensional temporal ontology-mediated queries,https://www.jair.org/index.php/jair/article/view/13511,"aiming at ontology-based data access to temporal data, we design two-dimensional temporal ontology and query languages by combining logics from the (extended) dl-lite family with linear temporal logic ltl over discrete time (z,<). our main concern is first-order rewritability of ontology-mediated queries (omqs) that consist of a 2d ontology and a positive temporal instance query. our target languages for fo-rewritings are two-sorted fo(<)--first-order logic with sorts for time instants ordered by the built-in precedence relation < and for the domain of individuals--its extension fo(<,) with the standard congruence predicates t 0 (mod n), for any fixed n > 1, and fo(rpr) that admits relational primitive recursion. in terms of circuit complexity, fo(<,)- and fo(rpr)-rewritability guarantee answering omqs in uniform ac0 and nc1, respectively.
we proceed in three steps. first, we define a hierarchy of 2d dl-lite/ltl ontology languages and investigate the fo-rewritability of omqs with atomic queries by constructing projections onto 1d ltl omqs and employing recent results on the fo-rewritability of propositional ltl omqs. as the projections involve deciding consistency of ontologies and data, we also consider the consistency problem for our languages. while the undecidability of consistency for 2d ontology languages with expressive boolean role inclusions might be expected, we also show that, rather surprisingly, the restriction to krom and horn role inclusions leads to decidability (and expspace-completeness), even if one admits full booleans on concepts. as a final step, we lift some of the rewritability results for atomic omqs to omqs with expressive positive temporal instance queries. the lifting results are based on an in-depth study of the canonical models and only concern horn ontologies."
2022,strategy graphs for influence diagrams,https://www.jair.org/index.php/jair/article/view/13865,"an influence diagram is a graphical model of a bayesian decision problem that is solved by finding a strategy that maximizes expected utility. when an influence diagram is solved by variable elimination or a related dynamic programming algorithm, it is traditional to represent a strategy as a sequence of policies, one for each decision variable, where a policy maps the relevant history for a decision to an action. we propose an alternative representation of a strategy as a graph, called a strategy graph, and show how to modify a variable elimination algorithm so that it constructs a strategy graph. we consider both a classic variable elimination algorithm for influence diagrams and a recent extension of this algorithm that has more relaxed constraints on elimination order that allow improved performance. we consider the advantages of representing a strategy as a graph and, in particular, how to simplify a strategy graph so that it is easier to interpret and analyze."
2022,learning to design fair and private voting rules,https://www.jair.org/index.php/jair/article/view/13734,"voting is used widely to identify a collective decision for a group of agents, based on their preferences. in this paper, we focus on evaluating and designing voting rules that support both the privacy of the voting agents and a notion of fairness over such agents. to do this, we introduce a novel notion of group fairness and adopt the existing notion of local differential privacy. we then evaluate the level of group fairness in several existing voting rules, as well as the trade-offs between fairness and privacy, showing that it is not possible to always obtain maximal economic efficiency with high fairness or high privacy levels. then, we present both a machine learning and a constrained optimization approach to design new voting rules that are fair while maintaining a high level of economic efficiency. finally, we empirically examine the effect of adding noise to create local differentially private voting rules and discuss the three-way trade-off between economic efficiency, fairness, and privacy.
this paper appears in the special track on ai & society."
2022,asymmetric action abstractions for planning in real-time strategy games,https://www.jair.org/index.php/jair/article/view/13769,"action abstractions restrict the number of legal actions available for real-time planning in zero-sum extensive-form games, thus allowing algorithms to focus their search on a set of promising actions. even though unabstracted game trees can lead to optimal policies, due to real-time constraints and the tree size, they are not a practical choice. in this context, we introduce an action abstraction scheme which we call asymmetric action abstraction. asymmetric abstractions allow search algorithms to ""pay more attention"" to some aspects of the game by unevenly dividing the algorithm's search effort amongst different aspects of the game. we also introduce four algorithms that search in asymmetrically abstracted game trees to evaluate the effectiveness of our abstraction schemes. two of our algorithms are adaptations of algorithms developed for searching in action-abstracted spaces, portfolio greedy search and stratified strategy selection, and the other two are adaptations of an algorithm developed for searching in unabstracted spaces, naivemcts. an extensive set of experiments in a real-time strategy game shows that search algorithms using asymmetric abstractions are able to outperform all other search algorithms tested."
2022,reinforcement learning from optimization proxy for ride-hailing vehicle relocation,https://www.jair.org/index.php/jair/article/view/13794,"idle vehicle relocation is crucial for addressing demand-supply imbalance that frequently arises in the ride-hailing system. current mainstream methodologies - optimization and reinforcement learning - suffer from obvious computational drawbacks. optimization models need to be solved in real-time and often trade off model fidelity (hence quality of solutions) for computational efficiency. reinforcement learning is expensive to train and often struggles to achieve coordination among a large fleet. this paper designs a hybrid approach that leverages the strengths of the two while overcoming their drawbacks. specifically, it trains an optimization proxy, i.e., a machine-learning model that approximates an optimization model, and then refines the proxy with reinforcement learning. this reinforcement learning from optimization proxy (rlop) approach is computationally efficient to train and deploy, and achieves better results than rl or optimization alone. numerical experiments on the new york city dataset show that the rlop approach reduces both the relocation costs and computation time significantly compared to the optimization model, while pure reinforcement learning fails to converge due to computational complexity."
2022,initialization of feature selection search for classification,https://www.jair.org/index.php/jair/article/view/14015,"selecting the best features in a dataset improves accuracy and efficiency of classifiers in a learning process. datasets generally have more features than necessary, some of them being irrelevant or redundant to others. for this reason, numerous feature selection methods have been developed, in which different evaluation functions and measures are applied. this paper proposes the systematic application of individual feature evaluation methods to initialize search-based feature subset selection methods. an exhaustive review of the starting methods used by genetic algorithms from 2014 to 2020 has been carried out. subsequently, an in-depth empirical study has been carried out evaluating the proposal for different search-based feature selection methods (sequential forward and backward selection, las vegas filter and wrapper, simulated annealing and genetic algorithms). since the computation time is reduced and the classification accuracy with the selected features is improved, the initialization of feature selection proposed in this work is proved to be worth considering while designing any feature selection algorithms."
2022,fair in the eyes of others,https://www.jair.org/index.php/jair/article/view/13778,"envy-freeness is a widely studied notion in resource allocation, capturing some aspects of fairness. the notion of envy being inherently subjective though, it might be the case that an agent envies another agent, but that from the other agents' point of view, she has no reason to do so. the difficulty here is to define the notion of objectivity, since no ground-truth can properly serve as a basis of this definition. a natural approach is to consider the judgement of the other agents as a proxy for objectivity. building on previous work by parijs (who introduced ""unanimous envy"") we propose the notion of approval envy: an agent ai experiences approval envy towards aj if she is envious of aj, and sufficiently many agents agree that this should be the case, from their own perspectives. another thoroughly studied notion in resource allocation is proportionality. the same variant can be studied, opening natural questions regarding the links between these two notions. we exhibit several properties of these notions. computing the minimal threshold guaranteeing approval envy and approval non-proportionality clearly inherits well-known intractable results from envy-freeness and proportionality, but (i) we identify some tractable cases such as house allocation; and (ii) we provide a general method based on a mixed integer programming encoding of the problem, which proves to be efficient in practice. this allows us in particular to show experimentally that existence of such allocations, with a rather small threshold, is very often observed."
